channel_id,url_channel,category,gender,channel_name,country,year,channel_description,comment_count,video_count,view_count,subscriber_count,aux_status,updated_at,next_page_token
UC1ObFmPG3RzIGijhe6i3fmg,https://www.youtube.com/channel/UC1ObFmPG3RzIGijhe6i3fmg,Viagem e Turismo,A,WeLove,Brasil,2014,"Manu e Matheus
TRAVEL - LOVE - ADVENTURE - VLOGS
contato@blogwelove.com",0,89,6013953,168000,1,2020-10-14 9:56:51,
UCRx4vLQrJvktL2O6RaZUB4g,https://www.youtube.com/channel/UCRx4vLQrJvktL2O6RaZUB4g,Viagem e Turismo,A,Viajo logo Existo,Brasil,2013,"Viajando o mundo, Leonardo e Rachel Spencer estão na estrada desde Maio de 2013, onde já visitaram mais de 120 países. 

O que começou somente como um sonho de viajar o mundo de carro se tornou o meio de vida desse jovem casal. 

Após largar tudo para trás no Brasil o casal da estrada já publicou 4 livros, palestrou para grandes empresas no Brasil e Portugal e juntou quase um milhão de seguidores nas redes sociais.

Para os próximos anos a meta é continuar em busca de experiências inesquecíveis.",0,352,2163195,27200,1,2020-10-14 22:31:29,
UCPgobiJwXLTYC0wafp29XYQ,https://www.youtube.com/user/TudoCelular,Tecnologia Digital,A,TudoCelular,Brasil,2011,"Canal de vídeos do Tudocelular.com - o maior portal de telefonia móvel do Brasil!

Aqui você encontra nossas análises, comparativos, guias de compras, tutoriais, dicas e muito mais. Vídeos feitos de forma totalmente imparcial, direta e clara, sem deixar de lado o embasamento em testes padronizados para garantir que você saiba exatamente como os produtos se saem na prática, e então possa decidir por si próprio se vale a pena ou não gastar o seu dinheiro.",0,2570,133079513,841000,1,2020-10-15 9:33:29,
UC7CEVQbvZ6-uy6TRH_c6scg,https://www.youtube.com/user/DanyMartinesDiy,"Decoração, Organização e Diy",A,Dany Martines,Brasil,2014,"Oi gente, eu sou a Dany Martines, sou Artista Plástica e adoro tudo que envolve arte. Meu namorado Rick Ordonez é Designer e Editor de Vídeos. ???? Unimos nossas habilidades e criamos o canal. Desde então conquistamos cada vez mais espectadores, e esperamos sempre dar o nosso melhor!

°

???? Nosso foco principal é o Faça Você Mesmo (DIY - Do It Yourself), e aleatoriamente temos vídeos diferentes no Canal. No momento, sem data fixa para os vídeos;

°

???? Agradeço de coração pelo carinho de cada inscrito, porque sem vocês nada disso seria possível. Eu amo o que faço, e se Deus e vocês permitirem, farei por muito tempo! 


Seja sempre bem vindo(a). ????


????  Contato Dany Martinês: 

????  Caixa Postal 81536 
CEP: 02146-970 | São Paulo – SP",0,504,242422180,2720000,1,2020-10-14 22:37:23,
UCk5BcU1rOy6hepflk7_q_Pw,https://www.youtube.com/channel/UCk5BcU1rOy6hepflk7_q_Pw,Política,B,Meteoro Brasil,Brasil,2017,"Meteoro é um canal sobre cultura pop, ciência e filosofia. E esse humilde canalzinho acaba de ficar mais alegre e completo por um bom motivo: você o encontrou. Muito obrigado!

Caixa Postal:17905
CEP: 80410-981",0,803,103129701,871000,1,2020-10-15 9:41:15,
UC6y5H1pATiIrmXByyqnatFA,https://www.youtube.com/user/blogdaflavinha,Moda,F,Flavia Pavanelli,Brasil,2013,"Dicas de make up, moda e comportamento! ????


??? INSCREVA-SE NO CANAL: http://bit.ly/1jYVOys ???

????? Siga a Flavinha nas redes ?????
INSTAGRAM: https://instagram.com/flaviapavanelli
FACEBOOK: https://facebook.com/flaviapavanellii
TWITTER: https://twitter.com/flaapavanelli",0,363,265885538,5110000,1,2020-10-14 10:54:42,
UCAkZ7bimIU9m7wT6Th0FcEw,https://www.youtube.com/user/NiinaSecrets,Moda,F,Niina Secrets,Brasil,2010,"Beleza, maquiagem, moda, lifestyle, decoração... Eu sou a Niina, tenho 25 anos e compartilho todas as minhas dicas aqui nesse canal.

? ? ? 

VÍDEOS NOVOS DE SEGUNDA, TERÇA E QUINTA ÁS 18HRS!

?   FIQUE PERTINHO DE MIM:
Email: contato@niinasecrets.com.br
Vlogs: https://www.youtube.com/NiinaVlog
Blog: http://niinasecrets.com.br
Twitter: http://www.twitter.com/niinasecrets
Instagram: http://www.instagram.com/niinasecrets
Facebook: http://www.facebook.com/niinasecrets
Pinterest: http://www.pinterest.com/niinasecrets
Snapchat: Nina.Santina
Spotify: Niina Secrets",0,1662,428269839,3890000,1,2020-10-14 22:33:44,
UCF1_gbEwOE0eEFIYmPHW9XA,https://www.youtube.com/user/RicadeMarre,Moda,F,Rica de Marré,Brasil,2011,,0,55,2740582,138000,1,2020-10-14 9:30:04,
UCF7x0GAB3T14UwahfMu-5_g,https://www.youtube.com/user/isabellafiorentino,Moda,F,Isabella Fiorentino,Brasil,2011,"Isabella Fiorentino é apresentadora do Esquadrão da Moda - SBT, empresária e consultora de imagem. Nesse canal você pode acompanhar as dicas de moda, beleza e comportamento da Bella. Seja muito bem-vindo e se inscreva para saber as novidades!",0,144,3531618,97800,1,2020-10-14 22:33:44,
UChDfkBFCPXbfmWeYfMuu_iw,https://www.youtube.com/channel/UChDfkBFCPXbfmWeYfMuu_iw,Pets,F,Central de Fãs de Luisa Mell,Brasil,2017,"Este canal é administrado por fãs, não somos a Luisa Mell e nenhum membro de sua equipe, e muito menos queremos nos passar por ela. Em momento nenhum retrata a opinião ou postura oficial da protetora animal. O objetivo desse canal é divulgar os resgates que a Luisa Mell realiza e posta em seu instagram.",0,608,12143553,0,0,2020-10-15 15:26:59,
